fighter_id,fighter_name,nickname,height_cm,weight_lbs,reach_cm,stance,date_of_birth,nationality,weight_class
52,Deiveson Figueiredo,Deus da Guerra,168,125,170,Orthodox,1987-12-18,Brazil,Flyweight
53,Brandon Moreno,The Assassin Baby,170,125,178,Orthodox,1993-12-07,Mexico,Flyweight
54,Kai Kara-France,,168,125,173,Orthodox,1993-03-26,New Zealand,Flyweight
55,Askar Askarov,,168,125,173,Orthodox,1992-10-24,Russia,Flyweight
56,Alex Perez,,168,125,170,Orthodox,1992-03-21,USA,Flyweight
57,Joseph Benavidez,,165,125,168,Orthodox,1984-07-31,USA,Flyweight
58,Jussier Formiga,,163,125,160,Orthodox,1985-01-31,Brazil,Flyweight
59,Matt Schnell,Danger,168,125,170,Orthodox,1990-01-15,USA,Flyweight
60,Tim Elliott,,168,125,168,Orthodox,1987-02-24,USA,Flyweight
61,Amanda Nunes,The Lioness,173,135,175,Orthodox,1988-05-30,Brazil,Women's Bantamweight
62,Julianna Pena,The Venezuelan Vixen,170,135,173,Orthodox,1989-08-19,Venezuela,Women's Bantamweight
63,Holly Holm,The Preacher's Daughter,175,135,178,Southpaw,1981-10-17,USA,Women's Bantamweight
64,Miesha Tate,Cupcake,168,135,170,Orthodox,1986-08-18,USA,Women's Bantamweight
65,Germaine de Randamie,The Iron Lady,175,135,178,Orthodox,1984-04-24,Netherlands,Women's Bantamweight
66,Ronda Rousey,Rowdy,168,135,168,Orthodox,1987-02-01,USA,Women's Bantamweight
67,Cat Zingano,Alpha,170,135,175,Orthodox,1982-07-01,USA,Women's Bantamweight
68,Sara McMann,The Muscle Shark,173,135,175,Orthodox,1980-09-24,USA,Women's Bantamweight
69,Alexis Davis,,168,135,170,Orthodox,1984-09-21,Canada,Women's Bantamweight
70,Liz Carmouche,Girl-Rilla,165,135,168,Orthodox,1984-12-19,USA,Women's Bantamweight
71,Rose Namajunas,Thug,165,115,160,Orthodox,1992-06-29,USA,Women's Strawweight
72,Carla Esparza,Cookie Monster,155,115,155,Orthodox,1987-10-10,USA,Women's Strawweight
73,Joanna Jedrzejczyk,Joanna Champion,165,115,165,Orthodox,1987-08-18,Poland,Women's Strawweight
74,Jessica Andrade,Bate Estaca,155,115,155,Orthodox,1991-09-25,Brazil,Women's Strawweight
75,Nina Ansaroff,,168,115,168,Orthodox,1986-07-19,USA,Women's Strawweight
76,Claudia Gadelha,,163,115,163,Orthodox,1988-12-07,Brazil,Women's Strawweight
77,Karolina Kowalkiewicz,,168,115,168,Orthodox,1985-10-15,Poland,Women's Strawweight
78,Michelle Waterson,The Karate Hottie,163,115,160,Orthodox,1986-01-06,USA,Women's Strawweight
79,Tecia Torres,The Tiny Tornado,155,115,155,Orthodox,1989-08-16,USA,Women's Strawweight
80,Paige VanZant,12 Gauge,163,115,160,Orthodox,1994-03-26,USA,Women's Strawweight
81,Valentina Shevchenko,Bullet,165,125,163,Southpaw,1988-03-07,Kyrgyzstan,Women's Flyweight
82,Katlyn Chookagian,Blonde Fighter,175,125,175,Orthodox,1988-12-28,USA,Women's Flyweight
83,Jennifer Maia,,163,125,163,Orthodox,1988-10-21,Brazil,Women's Flyweight
84,Jessica Eye,Evil,170,125,168,Orthodox,1986-07-27,USA,Women's Flyweight
85,Roxanne Modafferi,The Happy Warrior,168,125,165,Orthodox,1982-09-24,USA,Women's Flyweight
86,Viviane Araujo,,160,125,160,Orthodox,1985-06-13,Brazil,Women's Flyweight
87,Lauren Murphy,Lucky,163,125,163,Orthodox,1983-07-04,USA,Women's Flyweight
88,Cynthia Calvillo,,163,125,160,Orthodox,1987-07-13,USA,Women's Flyweight
89,Maycee Barber,The Future,163,125,163,Orthodox,1998-05-18,USA,Women's Flyweight
90,Joanne Calderwood,JoJo,165,125,165,Orthodox,1986-12-23,Scotland,Women's Flyweight
91,Jiri Prochazka,Denisa,193,205,203,Orthodox,1992-07-14,Czech Republic,Light Heavyweight
92,Glover Teixeira,,185,205,193,Orthodox,1979-10-28,Brazil,Light Heavyweight
93,Jan Blachowicz,,188,205,198,Orthodox,1983-02-24,Poland,Light Heavyweight
94,Magomed Ankalaev,,188,205,193,Orthodox,1992-06-02,Russia,Light Heavyweight
95,Anthony Smith,Lionheart,193,205,203,Orthodox,1988-07-26,USA,Light Heavyweight
96,Thiago Santos,Marreta,188,205,193,Orthodox,1984-01-07,Brazil,Light Heavyweight
97,Johnny Walker,,196,205,206,Orthodox,1992-03-30,Brazil,Light Heavyweight
98,Dominick Reyes,,193,205,196,Orthodox,1989-12-26,USA,Light Heavyweight
99,Corey Anderson,Overtime,193,205,203,Orthodox,1989-09-22,USA,Light Heavyweight
100,Volkan Oezdemir,No Time,188,205,193,Orthodox,1989-07-19,Switzerland,Light Heavyweight
